,Accuracy,Balanced Acc,Precision,Recall,F1-Score,ROC-AUC,MCC,Brier Score
XGBoost,98.25,97.62,100.0,95.24,97.56,99.6,0.963,0.0201
SVM,97.37,96.43,100.0,92.86,96.3,99.47,0.944,0.0222
Random Forest,96.49,95.73,97.5,92.86,95.12,99.52,0.925,0.028
Logistic Regression,96.49,95.73,97.5,92.86,95.12,99.6,0.925,0.0213
Bagging,96.49,95.24,100.0,90.48,95.0,97.85,0.926,0.0396
KNN,95.61,94.54,97.44,90.48,93.83,98.23,0.906,0.04
AdaBoost,94.74,92.86,100.0,85.71,92.31,97.95,0.889,0.1019
Gradient Boosting,94.74,93.35,97.37,88.1,92.5,99.44,0.887,0.0416
Decision Tree,92.98,92.46,90.48,90.48,90.48,92.46,0.849,0.0702
Naive Bayes,92.11,90.77,92.31,85.71,88.89,98.91,0.829,0.0757
