Feature,Mean_Abs_SHAP
Age,0.83556074
Total_HDL_Ratio,0.2663906
Smoking_Current,0.15407391
Systolic_BP,0.091494404
AIP,0.07551829
Smoking_Never,0.059664454
Fasting_Glucose,0.055504348
HbA1c,0.049423013
TyG_Index,0.03760465
Sex_Female,0.034105714
Waist_Circumference,0.028896233
Serum_Creatinine,0.02560134
Non_HDL_Cholesterol,0.023879835
HDL_Cholesterol,0.019259274
Triglycerides,0.019095382
eGFR,0.015424892
BMI,0.012605504
Standing_Height,0.011375863
Pulse_Pressure,0.008551715
Smoking_Former,0.008305877
MAP,0.0062671616
Total_Cholesterol,0.0060626827
LDL_HDL_Ratio,0.003286991
LDL_Cholesterol,0.0011577077
Diastolic_BP,0.00094387145
BUN,0.00076615706
Race_Other Hispanic,0.0007185525
Race_Asian / Other,0.00053973176
Race_Non-Hispanic Black,0.0005170482
Sex_Male,0.0
Race_Non-Hispanic White,0.0
Race_Mexican American,0.0
